Session_ID,Vehicle_ID,Session_Date,Charging_Type,Energy_kWh,Duration_Hours,Cost_NPR,City,Station_ID,Battery_Level_Start
CHG00096,EV0020,2022-01-14,Public Fast Charging,25.4,0.8,508.0,Kathmandu,STN051,34
CHG00097,EV0458,2023-11-01,Public Slow Charging,17.1,6.5,136.8,Bhairahawa,STN023,28
CHG00098,EV0218,2024-02-14,Workplace Charging,15.2,3.2,121.6,Lalitpur,STN086,10
CHG00099,EV0050,2023-06-28,Home Charging,19.9,7.4,258.7,Banepa,STN093,31
CHG00100,EV0008,2022-05-09,Workplace Charging,13.6,5.6,108.8,Lalitpur,STN052,11
CHG00101,EV0465,2024-06-26,Workplace Charging,20.1,7.9,221.1,Dharan,STN065,11
CHG00102,EV0394,2022-09-23,Public Fast Charging,35.6,0.8,854.4,Tulsipur,STN077,40
CHG00103,EV0106,2022-05-13,Public Fast Charging,20.1,1.3,402.0,Bhaktapur,STN002,21
CHG00104,EV0062,2022-11-03,Public Fast Charging,22.3,1.3,446.0,Butwal,STN010,34
CHG00105,EV0299,2023-12-01,Public Slow Charging,10.2,3.9,81.6,Jaleshwor,STN067,25
CHG00106,EV0466,2022-04-08,Home Charging,21.6,4.3,172.8,Butwal,STN066,26
CHG00107,EV0145,2024-11-18,Workplace Charging,34.4,5.7,309.6,Birendranagar,STN076,35
CHG00108,EV0114,2022-11-11,Workplace Charging,22.5,5.9,315.0,Bhaktapur,STN033,37
CHG00109,EV0484,2024-04-05,Workplace Charging,21.9,6.0,240.9,Tansen,STN043,39
CHG00110,EV0625,2022-11-25,Home Charging,15.5,4.2,232.5,Bhaktapur,STN029,10
CHG00111,EV0260,2023-09-15,Workplace Charging,33.9,5.6,508.5,Lalitpur,STN005,18
CHG00112,EV0007,2023-07-03,Home Charging,23.1,3.5,277.2,Dhulikhel,STN031,27
CHG00113,EV0674,2023-09-12,Workplace Charging,34.0,5.7,476.0,Gaur,STN099,23
CHG00114,EV0605,2023-01-31,Public Fast Charging,34.8,1.3,556.8,Biratnagar,STN018,30
CHG00115,EV0170,2024-01-07,Public Slow Charging,15.3,3.6,229.5,Attariya,STN013,38
CHG00116,EV0593,2022-11-26,Public Fast Charging,31.0,1.0,775.0,Kirtipur,STN078,15
CHG00117,EV0216,2024-04-26,Public Slow Charging,34.4,6.4,447.2,Nepalgunj,STN034,35
CHG00118,EV0518,2022-04-20,Workplace Charging,26.8,7.9,402.0,Birgunj,STN029,24
CHG00119,EV0281,2023-10-29,Public Slow Charging,20.4,4.0,183.6,Banepa,STN041,20
CHG00120,EV0639,2024-08-01,Home Charging,16.5,4.1,132.0,Pokhara,STN072,24
CHG00121,EV0147,2023-11-03,Public Fast Charging,30.1,0.8,722.4,Dharan,STN050,31
CHG00122,EV0013,2022-07-26,Public Slow Charging,11.7,5.5,163.8,Dharan,STN099,20
CHG00123,EV0005,2023-10-02,Workplace Charging,28.9,3.6,375.7,Damak,STN075,34
CHG00124,EV0497,2022-12-10,Public Slow Charging,19.9,3.4,298.5,Dhangadhi,STN075,35
CHG00125,EV0322,2023-11-27,Public Slow Charging,30.0,6.3,240.0,Nepalgunj,STN013,27
CHG00126,EV0597,2024-06-28,Home Charging,18.9,4.2,170.1,Gorkha,STN099,35
CHG00127,EV0679,2022-02-23,Public Fast Charging,16.7,0.8,350.7,Tulsipur,STN080,27
CHG00128,EV0025,2024-04-04,Home Charging,33.1,4.4,430.3,Nepalgunj,STN038,32
CHG00129,EV0009,2023-06-10,Public Fast Charging,39.7,0.6,794.0,Lahan,STN066,18
CHG00130,EV0020,2023-06-13,Public Slow Charging,23.6,7.7,283.2,Kathmandu,STN019,27
CHG00131,EV0289,2023-05-21,Home Charging,31.5,5.5,472.5,Dhulikhel,STN066,14
CHG00132,EV0206,2024-04-12,Home Charging,22.6,5.2,316.4,Lalitpur,STN047,22
CHG00133,EV0243,2022-12-01,Public Fast Charging,35.6,0.5,605.2,Lahan,STN010,25
CHG00134,EV0568,2022-08-26,Home Charging,12.4,7.9,99.2,Butwal,STN088,10
CHG00135,EV0137,2023-05-03,Home Charging,20.0,6.2,240.0,Bhaktapur,STN037,23
CHG00136,EV0149,2022-01-03,Home Charging,13.4,5.4,134.0,Bhaktapur,STN061,19
CHG00137,EV0137,2023-05-28,Home Charging,17.6,7.0,176.0,Bhaktapur,STN037,34
CHG00138,EV0086,2024-06-06,Workplace Charging,32.2,3.9,418.6,Itahari,STN046,12
CHG00139,EV0676,2024-09-15,Home Charging,31.9,7.6,350.9,Itahari,STN083,12
CHG00140,EV0450,2022-03-25,Workplace Charging,20.1,3.9,261.3,Kathmandu,STN009,14
CHG00141,EV0107,2022-03-11,Home Charging,10.2,3.5,153.0,Tulsipur,STN095,37
CHG00142,EV0333,2022-02-20,Public Slow Charging,23.2,6.6,324.8,Gorkha,STN084,23
CHG00143,EV0149,2023-01-24,Public Slow Charging,21.6,5.5,280.8,Bhaktapur,STN056,35
CHG00144,EV0584,2024-08-30,Public Fast Charging,25.6,1.1,537.6,Itahari,STN047,25
CHG00145,EV0650,2023-09-15,Public Slow Charging,33.1,4.3,397.2,Kathmandu,STN042,20
CHG00146,EV0174,2022-04-09,Public Slow Charging,20.2,5.5,282.8,Nepalgunj,STN003,39
CHG00147,EV0093,2024-06-01,Public Fast Charging,23.6,1.5,590.0,Bharatpur,STN029,37
CHG00148,EV0613,2022-11-21,Home Charging,11.6,4.0,162.4,Janakpur,STN049,11
CHG00149,EV0192,2023-07-01,Home Charging,23.4,3.1,257.4,Bhaktapur,STN014,22
CHG00150,EV0072,2024-12-21,Public Slow Charging,15.9,4.9,159.0,Tikapur,STN066,15
CHG00151,EV0215,2023-03-11,Public Slow Charging,22.8,4.2,296.4,Tulsipur,STN013,35
CHG00152,EV0670,2024-08-17,Home Charging,13.3,4.9,119.7,Attariya,STN087,16
CHG00153,EV0543,2023-01-04,Home Charging,16.1,6.7,144.9,Gorkha,STN065,23
CHG00154,EV0056,2024-11-26,Public Slow Charging,28.8,3.0,316.8,Madhyapur Thimi,STN048,29
CHG00155,EV0412,2024-06-13,Workplace Charging,21.6,4.0,216.0,Lahan,STN082,14
CHG00156,EV0659,2022-01-30,Public Fast Charging,19.1,1.3,439.3,Itahari,STN093,26
CHG00157,EV0119,2022-07-25,Workplace Charging,12.4,4.0,124.0,Hetauda,STN053,18
CHG00158,EV0282,2022-10-04,Public Slow Charging,26.6,5.4,372.4,Baglung,STN094,17
CHG00159,EV0662,2024-10-18,Workplace Charging,10.4,5.0,135.2,Kathmandu,STN030,29
CHG00160,EV0563,2022-07-19,Workplace Charging,33.4,4.6,334.0,Birtamod,STN042,16
CHG00161,EV0084,2023-03-30,Public Fast Charging,20.0,1.3,500.0,Bhaktapur,STN078,19
CHG00162,EV0366,2024-06-18,Home Charging,24.2,4.4,338.8,Beni,STN089,15
CHG00163,EV0190,2023-03-28,Public Slow Charging,21.3,5.9,319.5,Madhyapur Thimi,STN076,37
CHG00164,EV0210,2022-12-25,Public Fast Charging,32.0,1.0,736.0,Mahendranagar,STN014,28
CHG00165,EV0585,2024-07-30,Public Fast Charging,28.4,0.5,568.0,Birendranagar,STN081,32
CHG00166,EV0355,2023-01-19,Public Fast Charging,35.7,1.4,606.9,Jumla,STN083,37
CHG00167,EV0419,2024-10-09,Public Fast Charging,15.6,0.7,343.2,Kathmandu,STN083,37
CHG00168,EV0276,2022-04-17,Workplace Charging,10.7,6.7,149.8,Tikapur,STN099,20
CHG00169,EV0521,2022-06-30,Public Slow Charging,26.4,7.0,264.0,Beni,STN034,38
CHG00170,EV0040,2024-10-17,Home Charging,23.6,6.9,212.4,Dhulikhel,STN055,27
CHG00171,EV0011,2023-02-05,Home Charging,23.8,7.7,261.8,Madhyapur Thimi,STN095,21
CHG00172,EV0513,2023-10-09,Workplace Charging,13.9,7.4,208.5,Gaur,STN005,19
CHG00173,EV0455,2022-08-06,Public Slow Charging,13.2,3.5,132.0,Banepa,STN003,12
CHG00174,EV0598,2023-08-27,Home Charging,22.9,7.0,274.8,Attariya,STN045,20
CHG00175,EV0286,2023-05-12,Public Slow Charging,28.1,5.8,224.8,Jaleshwor,STN096,23
CHG00176,EV0439,2023-03-17,Workplace Charging,31.3,5.9,281.7,Bhaktapur,STN013,26
CHG00177,EV0217,2022-01-20,Home Charging,17.1,5.0,239.4,Birendranagar,STN054,20
CHG00178,EV0145,2023-04-20,Public Slow Charging,12.6,6.4,176.4,Birendranagar,STN019,32
CHG00179,EV0657,2022-04-28,Home Charging,33.1,3.5,364.1,Itahari,STN031,25
CHG00180,EV0134,2023-07-17,Workplace Charging,29.5,6.8,442.5,Birtamod,STN054,14
CHG00181,EV0138,2024-02-27,Public Fast Charging,34.6,1.4,865.0,Attariya,STN042,15
CHG00182,EV0344,2024-03-03,Home Charging,19.4,6.6,213.4,Tikapur,STN017,32
CHG00183,EV0612,2024-12-01,Public Slow Charging,22.8,4.4,205.2,Nepalgunj,STN076,24
CHG00184,EV0620,2024-06-20,Public Fast Charging,32.1,0.6,770.4,Bharatpur,STN069,21
CHG00185,EV0339,2024-12-26,Home Charging,19.0,3.5,152.0,Butwal,STN003,31
CHG00186,EV0187,2022-02-16,Public Slow Charging,17.4,7.5,243.6,Butwal,STN008,36
CHG00187,EV0096,2024-03-09,Public Fast Charging,32.3,1.4,613.7,Dhulikhel,STN019,27
CHG00188,EV0606,2023-06-24,Workplace Charging,14.9,7.2,163.9,Hetauda,STN067,31
CHG00189,EV0389,2022-07-05,Home Charging,15.7,5.7,188.4,Kirtipur,STN083,31
CHG00190,EV0363,2023-08-15,Public Fast Charging,25.3,1.4,506.0,Tansen,STN007,24
CHG00191,EV0444,2024-02-20,Public Fast Charging,19.4,1.4,407.4,Dhangadhi,STN085,25
CHG00192,EV0663,2024-08-14,Workplace Charging,28.3,6.5,311.3,Dhangadhi,STN085,20
CHG00193,EV0239,2024-04-07,Public Fast Charging,18.4,0.7,404.8,Beni,STN079,33
CHG00194,EV0315,2024-02-11,Public Fast Charging,24.6,0.7,492.0,Bhaktapur,STN054,21
CHG00195,EV0284,2024-12-15,Home Charging,27.8,3.0,305.8,Kirtipur,STN033,25
CHG00196,EV0302,2023-04-29,Workplace Charging,22.8,5.5,296.4,Kirtipur,STN096,21
CHG00197,EV0169,2022-07-09,Home Charging,30.3,4.0,303.0,Lalitpur,STN050,25
CHG00198,EV0083,2024-08-12,Public Fast Charging,38.4,0.7,576.0,Kapilvastu,STN020,30
CHG00199,EV0404,2022-11-27,Workplace Charging,19.7,3.9,157.6,Nepalgunj,STN005,16
CHG00200,EV0555,2024-07-12,Home Charging,32.2,3.6,418.6,Janakpur,STN052,13
CHG00201,EV0338,2024-05-24,Public Slow Charging,19.0,5.4,228.0,Waling,STN024,12
CHG00202,EV0572,2024-04-29,Public Fast Charging,27.1,1.4,487.8,Dharan,STN090,22
CHG00203,EV0108,2022-05-01,Public Slow Charging,22.2,4.1,310.8,Jumla,STN033,19
CHG00204,EV0589,2022-03-27,Public Slow Charging,15.9,7.5,206.7,Tulsipur,STN050,13
CHG00205,EV0463,2022-07-09,Public Fast Charging,33.4,1.5,534.4,Banepa,STN017,14
CHG00206,EV0324,2023-06-27,Home Charging,18.0,5.3,162.0,Kapilvastu,STN011,37
CHG00207,EV0289,2023-10-30,Workplace Charging,23.6,4.5,354.0,Dhulikhel,STN094,12
CHG00208,EV0333,2024-11-07,Public Slow Charging,17.7,4.3,265.5,Gorkha,STN088,26
CHG00209,EV0162,2024-10-08,Public Fast Charging,18.6,1.5,279.0,Rajbiraj,STN039,24
CHG00210,EV0471,2023-06-23,Workplace Charging,27.8,7.0,250.2,Attariya,STN050,28
CHG00211,EV0286,2022-09-12,Public Fast Charging,33.4,1.2,801.6,Jaleshwor,STN005,11
CHG00212,EV0536,2022-09-08,Workplace Charging,21.5,6.8,172.0,Gaur,STN071,24
CHG00213,EV0460,2022-10-03,Workplace Charging,28.2,5.5,394.8,Birtamod,STN088,17
CHG00214,EV0433,2023-03-12,Home Charging,21.5,5.7,258.0,Tulsipur,STN037,13
CHG00215,EV0113,2024-08-22,Public Slow Charging,10.1,3.6,80.8,Kirtipur,STN027,18
CHG00216,EV0164,2023-04-04,Public Slow Charging,17.9,5.6,196.9,Lamjung,STN005,10
CHG00217,EV0403,2024-03-01,Public Slow Charging,14.8,5.4,177.6,Beni,STN037,12
CHG00218,EV0135,2022-10-20,Public Slow Charging,30.0,7.9,240.0,Baglung,STN100,22
CHG00219,EV0289,2023-08-26,Public Slow Charging,34.0,6.5,408.0,Dhulikhel,STN066,38
CHG00220,EV0102,2023-09-08,Public Fast Charging,38.1,1.1,609.6,Jumla,STN056,11
CHG00221,EV0376,2022-04-04,Home Charging,31.8,3.1,445.2,Lahan,STN079,36
CHG00222,EV0045,2022-03-09,Public Fast Charging,24.3,1.3,413.1,Itahari,STN010,33
CHG00223,EV0680,2022-11-19,Public Fast Charging,16.6,1.5,348.6,Butwal,STN034,31
CHG00224,EV0230,2022-02-01,Home Charging,15.0,4.3,180.0,Bharatpur,STN057,20
CHG00225,EV0682,2023-08-15,Workplace Charging,22.9,5.0,297.7,Banepa,STN084,37
CHG00226,EV0671,2024-05-22,Workplace Charging,18.9,5.2,207.9,Lahan,STN074,14
CHG00227,EV0241,2023-12-17,Public Slow Charging,28.3,5.3,226.4,Hetauda,STN047,38
CHG00228,EV0005,2024-07-27,Workplace Charging,28.5,6.0,370.5,Damak,STN010,22
CHG00229,EV0499,2024-02-01,Workplace Charging,27.0,6.9,297.0,Pokhara,STN027,35
CHG00230,EV0147,2024-02-25,Home Charging,20.8,5.2,187.2,Dharan,STN081,31
CHG00231,EV0373,2023-08-17,Workplace Charging,15.2,4.2,182.4,Butwal,STN062,25
CHG00232,EV0041,2022-01-15,Public Fast Charging,33.3,0.5,599.4,Janakpur,STN072,31
CHG00233,EV0307,2022-01-14,Public Slow Charging,17.1,7.4,256.5,Dailekh,STN094,19
CHG00234,EV0236,2023-12-20,Home Charging,18.5,5.3,277.5,Tikapur,STN091,10
CHG00235,EV0463,2023-12-29,Public Slow Charging,34.1,3.8,341.0,Banepa,STN035,39
CHG00236,EV0211,2024-05-27,Public Slow Charging,24.0,5.1,264.0,Birtamod,STN069,20
CHG00237,EV0293,2023-05-27,Workplace Charging,34.8,6.0,313.2,Hetauda,STN035,21
CHG00238,EV0125,2022-06-18,Public Fast Charging,34.3,1.0,823.2,Kapilvastu,STN032,22
CHG00239,EV0438,2024-11-11,Home Charging,29.6,4.9,325.6,Beni,STN036,25
CHG00240,EV0566,2024-11-03,Home Charging,17.5,6.1,262.5,Pokhara,STN086,39
CHG00241,EV0543,2024-03-22,Public Fast Charging,33.0,1.0,792.0,Gorkha,STN100,11
CHG00242,EV0083,2023-03-02,Public Slow Charging,24.2,6.9,314.6,Kapilvastu,STN001,11
CHG00243,EV0429,2022-07-10,Public Slow Charging,33.0,6.1,330.0,Jaleshwor,STN012,20
CHG00244,EV0315,2023-10-25,Home Charging,24.1,6.1,265.1,Bhaktapur,STN083,17
CHG00245,EV0112,2024-06-08,Workplace Charging,13.9,7.9,139.0,Tikapur,STN037,26
CHG00246,EV0243,2022-12-28,Public Slow Charging,22.2,5.8,177.6,Lahan,STN076,31
CHG00247,EV0178,2023-07-11,Public Slow Charging,32.4,4.8,388.8,Nepalgunj,STN017,17
CHG00248,EV0257,2022-10-29,Workplace Charging,29.4,6.9,294.0,Rajbiraj,STN095,10
CHG00249,EV0560,2023-07-04,Public Fast Charging,17.3,1.2,276.8,Biratnagar,STN020,18
CHG00250,EV0320,2023-06-29,Home Charging,22.5,5.0,270.0,Rajbiraj,STN074,38
CHG00251,EV0044,2022-05-15,Workplace Charging,17.7,6.5,247.8,Mahendranagar,STN078,19
CHG00252,EV0073,2024-01-13,Public Fast Charging,36.7,0.8,807.4,Bharatpur,STN034,33
CHG00253,EV0641,2023-09-28,Public Slow Charging,21.7,7.7,173.6,Tulsipur,STN004,19
CHG00254,EV0504,2024-04-14,Public Slow Charging,22.5,6.2,247.5,Jaleshwor,STN063,11
CHG00255,EV0347,2022-06-20,Workplace Charging,25.5,6.4,382.5,Tikapur,STN005,15
CHG00256,EV0697,2023-04-13,Public Fast Charging,27.6,0.7,552.0,Rajbiraj,STN010,14
CHG00257,EV0392,2024-05-07,Public Fast Charging,29.4,1.0,735.0,Lalitpur,STN056,18
CHG00258,EV0626,2024-02-13,Public Fast Charging,17.8,0.9,284.8,Birgunj,STN099,38
CHG00259,EV0298,2022-11-01,Home Charging,31.6,6.5,474.0,Dhulikhel,STN045,27
CHG00260,EV0308,2024-08-10,Home Charging,27.6,3.7,414.0,Waling,STN002,12
CHG00261,EV0176,2024-01-12,Workplace Charging,19.7,8.0,256.1,Rajbiraj,STN053,29
CHG00262,EV0225,2022-01-13,Home Charging,22.0,6.8,264.0,Jaleshwor,STN070,26
CHG00263,EV0385,2023-07-06,Home Charging,24.4,3.3,195.2,Butwal,STN086,26
CHG00264,EV0388,2022-11-25,Home Charging,32.2,3.6,450.8,Attariya,STN003,35
CHG00265,EV0691,2023-05-12,Workplace Charging,10.2,5.8,132.6,Beni,STN019,33
CHG00266,EV0248,2024-10-23,Public Fast Charging,30.3,1.4,484.8,Baglung,STN069,20
CHG00267,EV0132,2024-02-27,Public Slow Charging,16.2,7.9,226.8,Dharan,STN066,10
CHG00268,EV0258,2024-09-05,Home Charging,12.6,4.7,189.0,Tansen,STN082,11
CHG00269,EV0218,2023-08-16,Public Fast Charging,27.1,0.6,623.3,Lalitpur,STN096,37
CHG00270,EV0159,2023-09-03,Home Charging,10.6,5.4,159.0,Hetauda,STN080,25
CHG00271,EV0359,2024-08-10,Public Slow Charging,20.7,5.9,207.0,Janakpur,STN031,14
CHG00272,EV0646,2023-02-08,Public Slow Charging,16.6,4.4,132.8,Dailekh,STN058,21
CHG00273,EV0454,2024-04-22,Public Fast Charging,25.1,1.1,376.5,Pokhara,STN001,32
CHG00274,EV0262,2023-06-14,Workplace Charging,25.2,4.8,327.6,Birgunj,STN088,12
CHG00275,EV0589,2024-06-29,Public Slow Charging,16.9,6.5,219.7,Tulsipur,STN012,21
